pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,candidate1_6,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,candidate2_5,candidate2_6,candidate2_7,candidate2_8,candidate2_9,candidate2_10,candidate2_11,candidate2_12,candidate2_13,candidate2_14,candidate2_15,candidate2_16,candidate2_17,candidate2_18,candidate2_19,candidate2_20,office3,candidate3_1,candidate3_2,candidate3_3,candidate3_4,candidate3_5,candidate3_6,candidate3_7,candidate3_8,candidate3_9,candidate3_10,candidate3_11,candidate3_12,candidate3_13,candidate3_14,candidate3_15,candidate3_16,candidate3_17,candidate3_18,candidate3_19,office4,candidate4_1,candidate4_2,candidate4_3,candidate4_4,candidate4_5,candidate4_6,candidate4_7,candidate4_8,candidate4_9,candidate4_10,candidate4_11,candidate4_12,candidate4_13,candidate4_14,candidate4_15,candidate4_16,candidate4_17,candidate4_18,candidate4_19,candidate4_20,office5,candidate5_1,candidate5_2,candidate5_3,candidate5_4,candidate5_5,candidate5_6,candidate5_7,candidate5_8,candidate5_9,candidate5_10,candidate5_11,candidate5_12,candidate5_13,candidate5_14,candidate5_15,candidate5_16,candidate5_17,candidate5_18,candidate5_19,office6,candidate6_1,candidate6_2,candidate6_3,candidate6_4,candidate6_5,candidate6_6,candidate6_7,candidate6_8,candidate6_9,candidate6_10,candidate6_11,candidate6_12,candidate6_13,candidate6_14,candidate6_15,candidate6_16,candidate6_17,candidate6_18,candidate6_19,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,candidate8_3,candidate8_4,candidate8_5,candidate8_6,candidate8_7,candidate8_8,candidate8_9,candidate8_10,candidate8_11,candidate8_12,candidate8_13,candidate8_14,candidate8_15,candidate8_16,candidate8_17,candidate8_18,candidate8_19,candidate8_20,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2
0GMECK60.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK61.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK62.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK63.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK64.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK65.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr."
0GMECK66.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK67.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK68.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK69.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK70.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK71.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK72.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK73.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK74.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK75.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK76.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK77.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK78.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK79.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK80.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK81.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK82.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,
0GMECK83.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK84.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK85.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK86.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Theo Nixon,,District Court Judge District 26,Matt Osman,Tim Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Becky Thorne Tin,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth
0GMECK87.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK88.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK89.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26C,Eric L. Levinson,,,,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
0GMECK90.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2010-11-02.zip,Superior Court Judge District 26B,Bill Constangy,Hugh Lewis,Nancy Norelli,F. Lane Williamson,,,District Court Judge District 26,Lisa Bell,Twyla E. Hollingsworth,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Jena P. Culler,"Donald Cureton, Jr.",,,,,,,,,,,,,,,,,,District Court Judge District 26,Tyyawdi M. Hands,Sean Smith,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Rickye McKoy-Mitchell,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Paige B. McThenia,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Regan A. Miller,,District Court Judge District 26,Theo Nixon,,,,,,,,,,,,,,,,,,,,District Court Judge District 26,Matt Osman,Tim Smith,District Court Judge District 26,Becky Thorne Tin,
